1,1,44,4,3,113,35,83,0,5,1258.00,7901.00,251.60,.00
2,16,30,8,2,73,0,99,3,1,350.00,2568.00,350.00,11167.00
3,35,11,15,4,71,13,3,0,2,511.00,24127.00,255.50,14072.00
4,1,52,15,1,105,2,38,2,7,847.00,6595.00,121.00,.00
5,1,29,7,1,240,1,23,0,2,1152.00,28799.00,576.00,33635.00
6,35,12,4,4,107,3,65,0,3,513.00,8002.00,171.00,.00
7,15,49,15,3,71,25,29,0,3,340.00,5595.00,113.33,74454.00
8,11,21,15,1,103,3,79,1,1,494.00,3964.00,494.00,60817.00
9,35,21,8,1,98,4,86,1,2,470.00,11986.00,235.00,87560.00
10,11,47,4,2,177,0,68,0,1,686.00,7083.00,686.00,97024.00
11,1,15,4,4,110,3,16,0,1,792.00,3735.00,792.00,.00
12,16,35,15,2,95,3,54,0,1,281.00,3861.00,281.00,93272.00
13,32,30,8,4,81,24,24,1,2,413.00,8888.00,206.50,21509.00
14,14,58,4,3,112,0,82,0,3,602.00,7998.00,200.66,26487.00
15,30,8,4,4,131,20,59,0,2,842.00,44771.00,421.00,.00
16,19,11,9,2,64,27,41,0,1,345.00,2577.00,345.00,74215.00
17,27,30,4,2,129,19,20,0,2,98.00,15467.00,49.00,77517.00
18,30,28,9,3,73,6,66,0,3,350.00,5918.00,116.66,77521.00
19,35,33,6,2,70,14,85,0,2,336.00,25093.00,168.00,36007.00
20,11,15,2,3,117,24,37,0,1,84.00,4639.00,84.00,28358.00
21,16,34,8,2,96,13,68,0,9,460.00,7725.00,51.11,96748.00
22,17,21,15,1,96,8,82,0,2,42.00,11124.00,21.00,42596.00
23,17,42,15,2,70,24,10,0,1,425.00,2393.00,425.00,.00
24,16,28,8,1,86,4,56,0,8,412.00,6032.00,51.50,.00
25,23,14,8,2,67,25,21,0,4,482.00,4628.00,120.50,.00
26,9,32,4,4,125,14,95,0,1,717.00,4853.00,717.00,17120.00
27,22,9,15,3,94,5,54,0,9,262.00,7477.00,29.11,48552.00
28,31,24,8,2,64,10,47,0,1,165.00,2497.00,165.00,68041.00
29,10,22,8,4,65,9,31,0,2,312.00,21423.00,156.00,.00
30,14,9,15,2,71,1,52,0,9,189.00,5666.00,21.00,53907.00
31,31,4,1,4,115,20,74,0,2,633.00,13862.00,316.50,96950.00
32,4,6,12,3,102,13,84,0,1,610.00,3694.00,610.00,.00
33,23,36,8,2,74,27,19,0,9,418.00,5768.00,46.44,35091.00
34,7,34,9,4,70,11,14,0,9,504.00,5533.00,56.00,23241.00
35,4,20,10,3,228,17,50,0,9,1273.00,17822.00,141.44,42696.00
36,1,25,15,1,65,6,89,0,3,468.00,4837.00,156.00,.00
37,1,20,15,3,68,18,81,0,3,352.00,4637.00,117.33,.00
38,17,58,14,2,88,4,83,0,1,55.00,3554.00,55.00,58557.00
39,35,50,8,4,92,13,17,0,1,441.00,3324.00,441.00,.00
40,16,39,15,1,68,15,52,0,2,326.00,12564.00,163.00,.00
41,16,34,2,4,109,23,45,0,4,400.00,8658.00,100.00,62464.00
42,32,59,4,4,129,1,75,0,1,619.00,5160.00,619.00,87050.00
43,4,46,16,2,81,22,26,0,1,388.00,2839.00,388.00,.00
44,19,40,14,4,86,10,52,0,1,10.00,3430.00,10.00,54339.00
45,4,38,15,4,67,4,25,0,2,302.00,12817.00,151.00,28651.00
46,32,21,18,1,229,14,72,0,2,1099.00,26511.00,549.50,28773.00
47,35,30,15,2,62,15,7,0,2,128.00,9816.00,64.00,37256.00
48,16,58,14,3,66,6,71,2,1,433.00,2396.00,433.00,.00
49,19,27,15,2,63,10,67,1,7,101.00,4993.00,14.42,75090.00
50,32,23,8,4,72,10,99,0,2,373.00,8427.00,186.50,20662.00
51,14,46,15,4,61,18,93,0,2,205.00,7379.00,102.50,61584.00
52,30,32,4,4,104,8,74,0,3,324.00,8224.00,108.00,82634.00
53,11,38,8,2,65,5,68,3,9,467.00,4974.00,51.88,75644.00
54,15,48,8,2,61,1,5,0,2,61.00,7212.00,30.50,75891.00
55,17,36,4,2,113,19,10,0,7,813.00,7859.00,116.14,.00
56,34,23,15,3,73,23,90,0,3,350.00,5973.00,116.66,96163.00
57,31,41,15,1,97,26,25,0,3,465.00,7765.00,155.00,56337.00
58,16,21,8,4,61,21,57,0,1,138.00,2429.00,138.00,74241.00
59,22,44,4,4,113,20,20,0,1,542.00,4392.00,542.00,33640.00
60,25,31,12,3,129,8,69,0,9,200.00,10419.00,22.22,80192.00
61,35,53,9,2,94,12,33,0,7,451.00,7255.00,64.42,10710.00
62,17,32,15,4,70,15,52,0,2,43.00,8406.00,21.50,42540.00
63,16,41,14,1,72,26,65,0,5,345.00,5792.00,69.00,87382.00
64,1,16,8,4,117,25,43,0,2,842.00,12827.00,421.00,.00
65,15,10,9,4,90,6,64,0,6,428.00,7189.00,71.33,75838.00
66,1,35,4,4,185,9,67,0,1,888.00,7329.00,888.00,59630.00
67,1,11,5,2,100,4,55,0,2,588.00,11431.00,294.00,28657.00
68,16,50,6,3,96,21,18,0,3,460.00,6941.00,153.33,.00
69,1,22,15,3,67,25,26,0,3,90.00,5418.00,30.00,39133.00
70,1,28,15,4,63,22,94,0,1,302.00,2356.00,302.00,.00
71,16,59,5,1,108,12,87,0,8,186.00,8595.00,23.25,76763.00
72,16,56,15,1,115,10,55,0,2,256.00,14024.00,128.00,81872.00
73,2,51,8,2,69,7,68,0,1,331.00,2448.00,331.00,.00
74,30,10,15,1,70,12,3,0,1,336.00,2805.00,336.00,26004.00
75,13,10,15,4,87,17,42,0,1,326.00,3412.00,326.00,30335.00
76,35,53,6,4,68,18,67,1,3,349.00,5386.00,116.33,33716.00
77,21,39,15,1,68,30,80,0,2,264.00,8085.00,132.00,61409.00
78,36,21,15,1,87,9,75,0,2,626.00,24143.00,313.00,.00
79,16,14,15,2,94,34,66,0,2,554.00,14700.00,277.00,29695.00
80,23,45,15,3,73,2,35,1,3,350.00,5850.00,116.66,24317.00
81,17,37,8,4,66,6,27,0,1,316.00,2616.00,316.00,72302.00
82,7,41,15,1,79,11,33,1,2,494.00,18943.00,247.00,58851.00
83,4,7,2,2,101,32,51,0,3,151.00,7907.00,50.33,24666.00
