1,AA10041,Basic,High School or Below,Unemployed,M,Suburban,Single,3
2,AA11235,Basic,Bachelor,Medical Leave,F,Suburban,Married,5
3,AA16582,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,4
4,AA30683,Premium,Bachelor,Unemployed,M,Suburban,Single,3
5,AA34092,Extended,College,Employed,M,Suburban,Married,3
6,AA35519,Basic,College,Unemployed,F,Suburban,Married,1
7,AA56476,Basic,High School or Below,Employed,F,Suburban,Single,1
8,AA69265,Premium,Bachelor,Employed,F,Suburban,Single,5
9,AA71604,Extended,Master,Employed,F,Suburban,Married,1
10,AA93585,Premium,College,Employed,M,Urban,Married,3
11,AB13432,Basic,Bachelor,Unemployed,M,Suburban,Single,3
12,AB21519,Extended,College,Employed,F,Urban,Married,3
13,AB23825,Extended,College,Employed,M,Suburban,Single,3
14,AB26022,Basic,High School or Below,Retired,M,Suburban,Single,2
15,AB31813,Extended,High School or Below,Unemployed,M,Suburban,Married,4
16,AB45325,Basic,High School or Below,Employed,M,Suburban,Married,1
17,AB60627,Extended,High School or Below,Employed,M,Rural,Married,3
18,AB62982,Basic,Doctor,Employed,F,Suburban,Married,2
19,AB69140,Basic,Master,Employed,M,Suburban,Married,3
20,AB72731,Basic,Bachelor,Employed,F,Rural,Married,3
21,AB73565,Extended,Bachelor,Employed,M,Suburban,Married,3
22,AB78984,Extended,College,Employed,M,Rural,Single,2
23,AB96670,Basic,College,Unemployed,M,Suburban,Single,3
24,AB98823,Extended,College,Unemployed,M,Suburban,Married,1
25,AC13887,Basic,Bachelor,Unemployed,M,Suburban,Single,3
26,AC22873,Extended,High School or Below,Medical Leave,F,Suburban,Married,1
27,AC24378,Extended,High School or Below,Employed,F,Urban,Married,1
28,AC40767,Basic,Bachelor,Employed,M,Urban,Single,4
29,AC42963,Basic,Bachelor,Unemployed,M,Suburban,Married,3
30,AC58002,Basic,Bachelor,Employed,F,Urban,Married,3
31,AC67315,Basic,Bachelor,Employed,F,Suburban,Married,5
32,AC73173,Basic,Bachelor,Unemployed,M,Suburban,Married,3
33,AC75391,Basic,College,Employed,F,Suburban,Divorced,1
34,AC79024,Basic,Bachelor,Employed,M,Suburban,Married,5
35,AD12500,Extended,High School or Below,Employed,F,Suburban,Single,3
36,AD18174,Basic,High School or Below,Unemployed,F,Suburban,Single,3
37,AD28349,Basic,High School or Below,Unemployed,M,Suburban,Divorced,1
38,AD28535,Extended,Master,Employed,F,Rural,Married,3
39,AD33653,Extended,High School or Below,Unemployed,M,Suburban,Married,2
40,AD33971,Basic,Doctor,Unemployed,M,Suburban,Married,3
41,AD38685,Basic,College,Employed,M,Urban,Married,3
42,AD56037,Extended,High School or Below,Employed,M,Suburban,Married,1
43,AD63766,Extended,Bachelor,Unemployed,M,Suburban,Married,2
44,AD71478,Extended,High School or Below,Employed,M,Rural,Married,1
45,AD89594,Basic,College,Employed,M,Urban,Single,3
46,AD95939,Extended,Bachelor,Employed,M,Suburban,Single,3
47,AE23906,Basic,College,Employed,M,Rural,Married,1
48,AE30506,Basic,Bachelor,Unemployed,F,Suburban,Married,3
49,AE60813,Basic,College,Employed,F,Rural,Married,2
50,AE62631,Basic,Bachelor,Employed,M,Suburban,Married,2
51,AE74442,Basic,Bachelor,Employed,F,Urban,Married,3
52,AE89300,Basic,Bachelor,Employed,F,Urban,Single,1
53,AE90216,Basic,Bachelor,Employed,M,Suburban,Divorced,3
54,AE93522,Basic,Bachelor,Employed,M,Rural,Single,4
55,AE98193,Basic,High School or Below,Unemployed,M,Suburban,Single,4
56,AF10970,Basic,Bachelor,Employed,F,Suburban,Married,1
57,AF17671,Extended,Bachelor,Employed,F,Suburban,Married,4
58,AF20716,Basic,Bachelor,Employed,M,Rural,Married,2
59,AF36894,Basic,Bachelor,Employed,M,Suburban,Married,3
60,AF37776,Extended,Bachelor,Employed,F,Rural,Married,3
61,AF41118,Extended,College,Medical Leave,M,Suburban,Married,3
62,AF47139,Basic,College,Employed,F,Rural,Married,2
63,AF48816,Basic,Bachelor,Employed,F,Suburban,Married,1
64,AF49027,Premium,College,Unemployed,F,Suburban,Single,1
65,AF49625,Extended,Bachelor,Employed,F,Urban,Single,2
66,AF69537,Premium,College,Employed,M,Suburban,Married,1
67,AF81450,Basic,High School or Below,Disabled,M,Suburban,Married,3
68,AG22225,Extended,High School or Below,Unemployed,M,Suburban,Married,2
69,AG32304,Basic,College,Employed,F,Rural,Married,5
70,AG39150,Basic,Bachelor,Unemployed,M,Suburban,Married,2
71,AG45299,Basic,College,Employed,M,Rural,Divorced,3
72,AG47947,Premium,High School or Below,Employed,F,Rural,Married,4
73,AG56998,Basic,College,Unemployed,M,Suburban,Married,2
74,AG58599,Basic,High School or Below,Employed,F,Suburban,Married,2
75,AG62087,Extended,Bachelor,Employed,M,Urban,Married,3
76,AG62140,Basic,College,Employed,F,Suburban,Married,3
77,AG85127,Basic,Bachelor,Employed,M,Urban,Married,2
78,AG85615,Extended,College,Unemployed,M,Suburban,Single,2
79,AH17051,Extended,Bachelor,Employed,M,Suburban,Married,3
80,AH22694,Basic,Doctor,Employed,M,Suburban,Married,3
81,AH39293,Basic,College,Employed,M,Suburban,Divorced,3
82,AH41065,Extended,High School or Below,Employed,M,Suburban,Married,4
83,AH41449,Basic,College,Employed,M,Rural,Married,5
